id,menu_id,name,description,price,image_url,category,available,popular,prep_time,created_at,updated_at,source_url,bar_id,subcategory,is_vegetarian,allergens,dietary_tags,category_id
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Royal Chicken Caesar,"Grilled chicken, lettuce, bacon, parmesan, croutons, tomatoes, caesar dressing",15.95,,SALADS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Royal Salmon Caesar,"Oven baked salmon fillet, ricotta, lettuce, cucumbers, onions, peppers, black olives, parmesan, croutons, tomatoes, caesar dressing",17.95,,SALADS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,West End Oriental Platter,"4 pork ribs, meatballs, 2 vegetable spring rolls, fish bites, 2 lamb koftas, 4 chicken wings, fish popcorn, 2 chicken satays, stealth fries, garlic bread, and dips",39.95,,PLATTERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Seafood & Fish Platter,"Fish bites, deep fried calamari, fish popcorn, scampi, Londoner fish & chips, garlic bread, and dips",39.95,,PLATTERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Drinker’s Favourite,"2 mini beef burgers, 2 lamb koftas, 4 chicken wings, spiced honey pork sausages, 2 chicken strips, 4 pork ribs, meatballs, garlic bread, 4 onion rings, and stealth fries smothered in melted cheese",42.95,,PLATTERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Cold Cuts & Cheese Platter,"Selection of Italian cold cuts and British cheeses, served with olives, mixed fruit & nuts, water biscuits, and grissini",32.95,,PLATTERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,The Londoner Fish & Chips,"Beer battered cod, mushy peas, tartar sauce & stealth fries",19.95,,FISH & CHIPS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Londoner Hot Dog,"Grilled frankfurter, crispy onions, melted cheese, Heinz baked beans, and stealth fries",12.95,,HOT DOG,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Bangers & Mash,"Cumberland sausages, mashed potatoes, and onion gravy",14.95,,CLASSICS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Half Roast Chicken in a Basket,Served with gravy and stealth fries,16.95,,CLASSICS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Chicken Tikka Masala (H),Served with basmati rice and pita bread,16.95,,CLASSICS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Oven Baked Salmon Fillet,"Served with mashed potatoes, fresh vegetables, and tarragon sauce",23.95,,CLASSICS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Baked Potato Gnocchi,"Creamy dolcelatte cheese sauce, walnuts, red Leicester, and melted cheddar cheese",13.5,,PASTA,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Garganelli Chicken Tartufo,"Chicken, mushrooms, spring onions, garlic, white wine, and truffle cream",15.5,,PASTA,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Garganelli Beef Porcini,"Beef chunks, porcini mushrooms, red wine, garlic, spring onions, jus, cream, and grana shavings",15.95,,PASTA,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Strozzapreti Salmon,"Fresh salmon, garlic, spring onions, cherry tomatoes, Pernod, cream, and tomato sauce",15.95,,PASTA,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Tortellini in Puff Pastry,"Meat tortellini, onions, garlic, Portobello mushrooms, bacon, white wine, and cream",14.95,,PASTA,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Miss Chicken Classy,"Grilled chicken breast, camembert cheese, bacon, and mango chutney",16.95,,BURGERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,The Londoner,"Angus beef, cheese, lettuce, tomatoes, and fried onions",16.95,,BURGERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,The Big Crusty,"Angus beef patty, fried crusty cheese, bacon, onion chutney, Branston pickles, and BBQ sauce",17.95,,BURGERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Sir Wellington,"Angus beef patty, Portobello mushrooms, BBQ sauce, Branston pickles, smoked cheese, and onion chutney",17.95,,BURGERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Westie Burger,"Angus beef patty, smoked cheese, crunchy peanut butter, bacon, fried onions, maple syrup, lettuce, and tomato",17.95,,BURGERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,The Big Ben,"Angus beef patty, deep fried chicken fillet, fried crusty cheese, crispy bacon, onion chutney, and BBQ sauce",19.95,,BURGERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Breaded Chicken Burger,"Shallow fried breaded chicken fillets, smoked cheese, lettuce, tomatoes, and curry ketchup",15.95,,BURGERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,The Veggie (V),"A mixture of onions, carrots, sweetcorn, broccoli, mashed potato & crispy coating",11.95,,BURGERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,280g Fresh Grilled Chicken Breast,Served with seasonal vegetables and stealth fries,19.95,,GRILLS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Rack of Sticky Pork Loin Ribs,Southern honey and Jack Daniels sauce with stealth fries,17.95,,GRILLS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,The King’s Beef Tagliata,"300g Beef flank steak, rucola, parmesan shavings, baby potatoes, and cherry tomatoes",27.95,,GRILLS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Fresh Pure Angus Rib Eye,"300g Grilled steak, seasonal vegetables, and stealth fries",29.95,,GRILLS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,"Chicken, Mushroom & Bacon Pie","Smoked bacon, chicken velouté, chicken breast, and mushrooms",14.95,,PIES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Steak & Guinness Pie,"Beef chunks, Guinness ale, root vegetables, and gravy",14.95,,PIES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Shepherd’s Pie,"Slow cooked lamb mince, mashed potatoes, and side salad",14.95,,PIES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Chicken Nuggets & Chips, ,10.95,,KIDS MENU,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Penne with Tomato Sauce, ,9.95,,KIDS MENU,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,"Hot Dog, Chips & Baked Beans", ,9.95,,KIDS MENU,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Fish & Chips, ,12.95,,KIDS MENU,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Burger & Chips, ,12.95,,KIDS MENU,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Snickers,"Oven caramelized chocolate cream, roasted peanuts, and nutty chocolate",6.5,,DESSERTS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Oreo,Dark crunchy biscuits with milky white chocolate mousse,6.5,,DESSERTS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Nutella Tart,Served with panna,6.5,,DESSERTS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Apple Crumble,Served with warm custard,6.5,,DESSERTS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Alison’s Soft Baked Milk Chocolate Cookie, ,6.95,,DESSERTS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Panna Small Still Water,,2.6,,COLD BEVERAGES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,San Pellegrino Small,,2.6,,COLD BEVERAGES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Coca Cola (330ml),,2.6,,COLD BEVERAGES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Coke Zero (330ml),,2.6,,COLD BEVERAGES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Kinnie (330ml),,2.6,,COLD BEVERAGES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Diet Kinnie (330ml),,2.6,,COLD BEVERAGES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Sprite (330ml),,2.6,,COLD BEVERAGES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Sprite Zero (330ml),,2.6,,COLD BEVERAGES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Fanta (330ml),,2.6,,COLD BEVERAGES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Cisk Lager (330ml),,3.05,,BEERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Cisk Excel (330ml),,3.05,,BEERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Cisk Chill Lemon (330ml),,3.05,,BEERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Cisk Chill Berry (330ml),,3.05,,BEERS,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Donato Chardonnay,,15.95,,WHITE WINES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Glicine Corvo,,20.95,,WHITE WINES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Gavi Di Gavi,,24.5,,WHITE WINES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Marenzio Merlot,,15.95,,RED WINES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Valpolicella Classico DOC,,18.95,,RED WINES,,,,,,,,,,,,
3fda6971-c39c-47d6-99da-8f64aa5e2b45,,Malbec,,21.95,,RED WINES,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Chicken Dippers,"Homemade breaded chicken tenderloins with coleslaw, fries, honey cajun mayo, and BBQ sauce",18.5,,RIBS & DIPPERS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Barbeque Ribs,"Pork ribs with BBQ sauce, coleslaw, and fries",26.5,,RIBS & DIPPERS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Half Barbeque Ribs,"Half rack pork ribs with BBQ sauce, coleslaw, and fries",22.5,,RIBS & DIPPERS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Tennessee Ribs,"Pork ribs with American sauce, coleslaw, and fries",26.5,,RIBS & DIPPERS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Half Tennessee Ribs,"Half rack pork ribs with BBQ sauce, coleslaw, and fries",22.5,,RIBS & DIPPERS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Prosciutto & Buffalo Salad,"Prosciutto and mozzarella di bufala on lettuce, rucola, pistachios, fresh peach, citrus vinaigrette",15.5,,SALADS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Quinoa Salad (Avocado & Prawns),"Quinoa, prawns, avocado, tomatoes, cucumber, carrots, misticanza",16.5,,SALADS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Greek Chicken Salad,"Marinated boneless chicken thighs, greens, couscous, chickpeas, cucumber, feta, onions, peppers, cherry tomatoes, olives, yogurt tzatziki dressing",16.5,,SALADS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Chicken Caesar Salad,"Greens, tomatoes, olives, grana cheese, croutons, grilled chicken, creamy Caesar dressing",16.5,,SALADS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Fresh Salmon Salad,Pan seared salmon fillet with orange and ginger marination on lettuce,18.95,,SALADS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Penne Cajun,"Chicken, Cajun spices, herbs, onions, mushrooms, cream",16.5,,PASTA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Chicken Pancetta Rice,"Chicken, pancetta, mushrooms, onions, Parmesan, sundried tomatoes, white wine, cream",16.5,,PASTA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Curry Rice,"Chicken, curry spices, dried fruit, leeks, coconut cream",16.5,,PASTA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Spaghetti Rabbit,"Rabbit, onions, garlic, thyme, peas, red wine, tomato sauce",16.5,,PASTA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Fusilli Salsiccia,"Maltese sausage ragu, herbs, sundried tomatoes, cream, pecorino pepato cheese",16.5,,PASTA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Penne Zarina,"Smoked salmon, garlic, onions, tomatoes, herbs, caviar, cream",16.5,,PASTA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Linguine Fillet,"Beef fillet strips, mushrooms, porcini, onions, garlic, white wine, cream",18.5,,PASTA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Linguine Nettuno,"Calamari, prawns, garlic, onions, Pernod, prawn bisque, cream",18.5,,PASTA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Linguine Octopus,"Octopus, garlic, herbs, white wine, tomato sauce",18.95,,PASTA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Rabbit,"Pan fried rabbit with garlic, spring onions, white wine, rabbit jus, fries",24,,MAINS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Boneless Half Chicken,"Charcoal grilled boneless chicken, hummus dip, fries",20.95,,MAINS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Tarragon Chicken,"Chicken breast, mushrooms, onions, brandy, tarragon, cream, lemon, salad, fries",24,,MAINS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Baked Salmon,"Salmon fillet, sundried tomato & herb crust, spinach, prawn sauce, fries",25.95,,MAINS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Octopus,"Pan fried octopus with garlic, herbs, salad, fries",27.95,,MAINS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,"Lady Steak (Tagliata, 350g)","Char grilled beef skirt, rucola, parmesan, fries, port wine jus",28,,MEAT,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Ribeye Steak (350g),"Black Angus ribeye, charcoal grilled, fries, salad",31,,MEAT,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Fillet Chef,"Prime fillet steak, charcoal grilled, mushrooms, onions, pancetta, cream, salad, fries",32,,MEAT,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Fillet Peppered,"Prime fillet steak, charcoal grilled, crushed peppercorns, cream, salad, fries",32,,MEAT,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,American Beef Burger,"Double beef patties, lettuce, tomatoes, gherkins, fried onions, pancetta, cheddar, special sauce, fries",16.9,,BURGERS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Mexican Beef Burger,"Double beef patties, guacamole, bean & pancetta ragu",16.9,,BURGERS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Margherita,"Tomatoes, mozzarella fior di latte, oregano",12,,PIZZA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Margherita Di Bufola,"Tomatoes, mozzarella di bufala, basil, olive oil, oregano",14.5,,PIZZA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Mortadella Pizza,"Pistachio pesto, mozzarella fior di latte, mortadella, pistachio granules",14.5,,PIZZA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Capricciosa,"Tomatoes, mozzarella fior di latte, mushrooms, ham, eggs, olives, artichoke hearts, oregano",15,,PIZZA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Pepperoni,"Yellow tomato sauce, mozzarella fior di latte, pepperoni, oregano",14.5,,PIZZA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Vegan Pizza,"Cream of marrow, aubergine, porcini, fried marrows, vegan mozzarella, cherry tomatoes, oregano",16.5,,PIZZA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,BBQ Chicken Pizza,"Tomatoes, mozzarella fior di latte, chicken, peppers, porcini, BBQ sauce",16.5,,PIZZA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Holy Smok N' Ribs,"Tomatoes, provolone, jalapeño, boneless ribs, guanciale, caramelized onions, BBQ sauce",16.5,,PIZZA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Meat Lover Pizza,"Tomato sauce, provolone, ribeye, sausages, peppers, onions, yogurt drizzle",17.5,,PIZZA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Gamberetti Pizza,"Cream of marrow, fried marrows, prawns, stracciatella cheese, peperoncino, lemon zest",17.5,,PIZZA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Tre Colore Focaccia,"Mozzarella di bufala, cherry tomatoes, prosciutto, rucola, grana shavings",16.5,,PIZZA,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Pepper Sauce,,3.95,,EXTRAS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Chef Sauce,,3.95,,EXTRAS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,BBQ Sauce,,3.95,,EXTRAS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Tennessee Sauce,,2.5,,EXTRAS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Cajun Sauce,,2.5,,EXTRAS,,,,,,,,,,,,
e188f43b-06f1-4e1e-9cde-f726b7811207,,Fries,,3.5,,EXTRAS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Tres Tacos,"3 mini tortillas with chicken, beef, or fish, topped with pico de gallo, salsa hot sauce & sour cream",16,,APPETIZERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Quesadilla,"Folded tortilla filled with chicken or beef, salsa, or mozzarella",15,,APPETIZERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Nachos,"Crispy nachos topped with beef, pico de gallo, pickled jalapeños, melted cheese, guacamole",15,,APPETIZERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Chicken Wings (400g),"Jack Daniel's BBQ, Buffalo, or Honey Mustard sauce with a dip",12,,APPETIZERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Mozzarella Sticks,8 breaded mozzarella sticks with honey mustard dip,10,,APPETIZERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Large Fries, ,7,,APPETIZERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Crispy Fried Sardines, ,12,,APPETIZERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Fried Salty Smelt Fish, ,12,,APPETIZERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Cheesy Chips,Slightly spicy,8.5,,APPETIZERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,The Brew Platter,"Half rack ribs, chicken wings, mixed sausages, beer battered onion rings, salad, fries, honey mustard",39.95,,PLATTERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,The Big Chicken Wing Platter,"2400g of chicken wings in 4 sauces: honey garlic, Jack Daniel's BBQ, honey mustard, buffalo sauce",39,,PLATTERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Caesar Salad,"Lettuce, tomatoes, croutons, Grana cheese, chicken breast, crispy bacon, Caesar dressing",17.95,,SALADS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Green Salad,"Mixed lettuce, olives, onions, peppers, cherry tomatoes, feta cheese, basil flavored oil",11.95,,SALADS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Veggie Burger,"Breaded veggie patty, red Leicester cheese, lettuce in basil oil, tomatoes, brioche bun",12.95,,BURGERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Chicken Caesar Burger,"Breaded fresh chicken breast patty, lettuce, tomatoes, crushed croutons, Grana cheese, Caesar dressing",13.9,,BURGERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Pork Rib Burger,"BBQ sauce, chopped onions, slow cooked pork rib (200g), tomato, homemade roast potatoes",16.95,,BURGERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Steakhouse Burger,"200g beef patty, crispy bacon, red Leicester cheese, crispy onions, tomatoes, coleslaw, Jack Daniel's BBQ sauce, brioche bun",16.95,,DRY AGED BEEF BURGERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Picke My Funny Bone Burger,"200g beef patty, cheddar cheese, fried pickles, lettuce, Jay's burger juice, brioche bun",15.95,,DRY AGED BEEF BURGERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Royal with Cheese,"200g beef patty, cheddar, ketchup, mustard, pickles, chopped onion, sesame seed bun",15.95,,DRY AGED BEEF BURGERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,The Godfather,"200g beef patty, mozzarella di bufala, pistachios, rucola, pesto, brioche bun",16.95,,DRY AGED BEEF BURGERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Django,"200g beef patty, pico de gallo, Mexican cheese, spicy chorizo, Mexicana sauce, brioche bun, house guacamole",16.95,,DRY AGED BEEF BURGERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,The American Classic,"200g beef patty, crispy bacon, cheddar cheese, tomatoes, pickles, Jay's burger juice, sesame seed bun",15.95,,DRY AGED BEEF BURGERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,The Brew Truffle Burger,"200g beef patty, fresh Italian truffle, homemade truffle mayo, cheddar cheese, tomatoes, lettuce",20.95,,DRY AGED BEEF BURGERS,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Juicy Ribs,Honey mustard sauce (cooked in golden ale beer) or Jack Daniel's BBQ sauce with beer battered onion rings,18,,GRILL,,,,,,,,,,,,
bdba1503-cee0-44b3-a01b-86c59726f1f3,,Rib Eye Steak (350g),Recommended with pepper sauce and steakhouse potatoes,33,,GRILL,,,,,,,,,,,,
