Bar name,Category,Item name,Description,Price
The Londoner British Pub Sliema,PASTA,Strozzapreti Salmon,"Fresh salmon, garlic, spring onions, cherry tomatoes, Pernod, cream, and tomato sauce",15.95
The Londoner British Pub Sliema,PASTA,Tortellini in Puff Pastry,"Meat tortellini, onions, garlic, Portobello mushrooms, bacon, white wine, and cream",14.95
The Londoner British Pub Sliema,BURGERS,Miss Chicken Classy,"Grilled chicken breast, camembert cheese, bacon, and mango chutney",16.95
The Londoner British Pub Sliema,BURGERS,The Londoner,"Angus beef, cheese, lettuce, tomatoes, and fried onions",16.95
The Londoner British Pub Sliema,BURGERS,The Big Crusty,"Angus beef patty, fried crusty cheese, bacon, onion chutney, Branston pickles, and BBQ sauce",17.95
The Londoner British Pub Sliema,BURGERS,Sir Wellington,"Angus beef patty, Portobello mushrooms, BBQ sauce, Branston pickles, smoked cheese, and onion chutney",17.95
The Londoner British Pub Sliema,BURGERS,Westie Burger,"Angus beef patty, smoked cheese, crunchy peanut butter, bacon, fried onions, maple syrup, lettuce, and tomato",17.95
The Londoner British Pub Sliema,BURGERS,The Big Ben,"Angus beef patty, deep fried chicken fillet, fried crusty cheese, crispy bacon, onion chutney, and BBQ sauce",19.95
The Londoner British Pub Sliema,BURGERS,Breaded Chicken Burger,"Shallow fried breaded chicken fillets, smoked cheese, lettuce, tomatoes, and curry ketchup",15.95
The Londoner British Pub Sliema,BURGERS,The Veggie (V),"A mixture of onions, carrots, sweetcorn, broccoli, mashed potato & crispy coating",11.95
The Londoner British Pub Sliema,GRILLS,280g Fresh Grilled Chicken Breast,Served with seasonal vegetables and stealth fries,19.95
The Londoner British Pub Sliema,GRILLS,Rack of Sticky Pork Loin Ribs,Southern honey and Jack Daniels sauce with stealth fries,17.95
The Londoner British Pub Sliema,GRILLS,The King’s Beef Tagliata,"300g Beef flank steak, rucola, parmesan shavings, baby potatoes, and cherry tomatoes",27.95
The Londoner British Pub Sliema,GRILLS,Fresh Pure Angus Rib Eye,"300g Grilled steak, seasonal vegetables, and stealth fries",29.95
The Londoner British Pub Sliema,PIES,"Chicken, Mushroom & Bacon Pie","Smoked bacon, chicken velouté, chicken breast, and mushrooms",14.95
The Londoner British Pub Sliema,PIES,Steak & Guinness Pie,"Beef chunks, Guinness ale, root vegetables, and gravy",14.95
The Londoner British Pub Sliema,PIES,Shepherd’s Pie,"Slow cooked lamb mince, mashed potatoes, and side salad",14.95
The Londoner British Pub Sliema,KIDS MENU,Chicken Nuggets & Chips, ,10.95
The Londoner British Pub Sliema,KIDS MENU,Penne with Tomato Sauce, ,9.95
The Londoner British Pub Sliema,KIDS MENU,"Hot Dog, Chips & Baked Beans", ,9.95
The Londoner British Pub Sliema,KIDS MENU,Fish & Chips, ,12.95
The Londoner British Pub Sliema,KIDS MENU,Burger & Chips, ,12.95
The Londoner British Pub Sliema,DESSERTS,Snickers,"Oven caramelized chocolate cream, roasted peanuts, and nutty chocolate",6.5
The Londoner British Pub Sliema,DESSERTS,Oreo,Dark crunchy biscuits with milky white chocolate mousse,6.5
The Londoner British Pub Sliema,DESSERTS,Nutella Tart,Served with panna,6.5
The Londoner British Pub Sliema,DESSERTS,Apple Crumble,Served with warm custard,6.5
The Londoner British Pub Sliema,DESSERTS,Alison’s Soft Baked Milk Chocolate Cookie, ,6.95
The Londoner British Pub Sliema,COLD BEVERAGES,Panna Small Still Water,,2.6
The Londoner British Pub Sliema,COLD BEVERAGES,San Pellegrino Small,,2.6
The Londoner British Pub Sliema,COLD BEVERAGES,Coca Cola (330ml),,2.6
The Londoner British Pub Sliema,COLD BEVERAGES,Coke Zero (330ml),,2.6
The Londoner British Pub Sliema,COLD BEVERAGES,Kinnie (330ml),,2.6
The Londoner British Pub Sliema,COLD BEVERAGES,Diet Kinnie (330ml),,2.6
The Londoner British Pub Sliema,COLD BEVERAGES,Sprite (330ml),,2.6
The Londoner British Pub Sliema,COLD BEVERAGES,Sprite Zero (330ml),,2.6
The Londoner British Pub Sliema,COLD BEVERAGES,Fanta (330ml),,2.6
The Londoner British Pub Sliema,BEERS,Cisk Lager (330ml),,3.05
The Londoner British Pub Sliema,BEERS,Cisk Excel (330ml),,3.05
The Londoner British Pub Sliema,BEERS,Cisk Chill Lemon (330ml),,3.05
The Londoner British Pub Sliema,BEERS,Cisk Chill Berry (330ml),,3.05
The Londoner British Pub Sliema,WHITE WINES,Donato Chardonnay,,15.95
The Londoner British Pub Sliema,WHITE WINES,Glicine Corvo,,20.95
The Londoner British Pub Sliema,WHITE WINES,Gavi Di Gavi,,24.5
The Londoner British Pub Sliema,RED WINES,Marenzio Merlot,,15.95
The Londoner British Pub Sliema,RED WINES,Valpolicella Classico DOC,,18.95
The Londoner British Pub Sliema,RED WINES,Malbec,,21.95
Mamma Mia,RIBS & DIPPERS,Chicken Dippers,"Homemade breaded chicken tenderloins with coleslaw, fries, honey cajun mayo, and BBQ sauce",18.5
Mamma Mia,RIBS & DIPPERS,Barbeque Ribs,"Pork ribs with BBQ sauce, coleslaw, and fries",26.5
Mamma Mia,RIBS & DIPPERS,Half Barbeque Ribs,"Half rack pork ribs with BBQ sauce, coleslaw, and fries",22.5
Mamma Mia,RIBS & DIPPERS,Tennessee Ribs,"Pork ribs with American sauce, coleslaw, and fries",26.5
Mamma Mia,RIBS & DIPPERS,Half Tennessee Ribs,"Half rack pork ribs with BBQ sauce, coleslaw, and fries",22.5
Mamma Mia,SALADS,Prosciutto & Buffalo Salad,"Prosciutto and mozzarella di bufala on lettuce, rucola, pistachios, fresh peach, citrus vinaigrette",15.5
Mamma Mia,SALADS,Quinoa Salad (Avocado & Prawns),"Quinoa, prawns, avocado, tomatoes, cucumber, carrots, misticanza",16.5
Mamma Mia,SALADS,Greek Chicken Salad,"Marinated boneless chicken thighs, greens, couscous, chickpeas, cucumber, feta, onions, peppers, cherry tomatoes, olives, yogurt tzatziki dressing",16.5
Mamma Mia,SALADS,Chicken Caesar Salad,"Greens, tomatoes, olives, grana cheese, croutons, grilled chicken, creamy Caesar dressing",16.5
Mamma Mia,SALADS,Fresh Salmon Salad,Pan seared salmon fillet with orange and ginger marination on lettuce,18.95
Mamma Mia,PASTA,Penne Cajun,"Chicken, Cajun spices, herbs, onions, mushrooms, cream",16.5
Mamma Mia,PASTA,Chicken Pancetta Rice,"Chicken, pancetta, mushrooms, onions, Parmesan, sundried tomatoes, white wine, cream",16.5
Mamma Mia,PASTA,Curry Rice,"Chicken, curry spices, dried fruit, leeks, coconut cream",16.5
Mamma Mia,PASTA,Spaghetti Rabbit,"Rabbit, onions, garlic, thyme, peas, red wine, tomato sauce",16.5
Mamma Mia,PASTA,Fusilli Salsiccia,"Maltese sausage ragu, herbs, sundried tomatoes, cream, pecorino pepato cheese",16.5
Mamma Mia,PASTA,Penne Zarina,"Smoked salmon, garlic, onions, tomatoes, herbs, caviar, cream",16.5
Mamma Mia,PASTA,Linguine Fillet,"Beef fillet strips, mushrooms, porcini, onions, garlic, white wine, cream",18.5
Mamma Mia,PASTA,Linguine Nettuno,"Calamari, prawns, garlic, onions, Pernod, prawn bisque, cream",18.5
Mamma Mia,PASTA,Linguine Octopus,"Octopus, garlic, herbs, white wine, tomato sauce",18.95
Mamma Mia,MAINS,Rabbit,"Pan fried rabbit with garlic, spring onions, white wine, rabbit jus, fries",24
Mamma Mia,MAINS,Boneless Half Chicken,"Charcoal grilled boneless chicken, hummus dip, fries",20.95
Mamma Mia,MAINS,Tarragon Chicken,"Chicken breast, mushrooms, onions, brandy, tarragon, cream, lemon, salad, fries",24
Mamma Mia,MAINS,Baked Salmon,"Salmon fillet, sundried tomato & herb crust, spinach, prawn sauce, fries",25.95
Mamma Mia,MAINS,Octopus,"Pan fried octopus with garlic, herbs, salad, fries",27.95
Mamma Mia,MEAT,"Lady Steak (Tagliata, 350g)","Char grilled beef skirt, rucola, parmesan, fries, port wine jus",28
Mamma Mia,MEAT,Ribeye Steak (350g),"Black Angus ribeye, charcoal grilled, fries, salad",31
Mamma Mia,MEAT,Fillet Chef,"Prime fillet steak, charcoal grilled, mushrooms, onions, pancetta, cream, salad, fries",32
Mamma Mia,MEAT,Fillet Peppered,"Prime fillet steak, charcoal grilled, crushed peppercorns, cream, salad, fries",32
Mamma Mia,BURGERS,American Beef Burger,"Double beef patties, lettuce, tomatoes, gherkins, fried onions, pancetta, cheddar, special sauce, fries",16.9
Mamma Mia,BURGERS,Mexican Beef Burger,"Double beef patties, guacamole, bean & pancetta ragu",16.9
Mamma Mia,PIZZA,Margherita,"Tomatoes, mozzarella fior di latte, oregano",12
Mamma Mia,PIZZA,Margherita Di Bufola,"Tomatoes, mozzarella di bufala, basil, olive oil, oregano",14.5
Mamma Mia,PIZZA,Mortadella Pizza,"Pistachio pesto, mozzarella fior di latte, mortadella, pistachio granules",14.5
Mamma Mia,PIZZA,Capricciosa,"Tomatoes, mozzarella fior di latte, mushrooms, ham, eggs, olives, artichoke hearts, oregano",15
Mamma Mia,PIZZA,Pepperoni,"Yellow tomato sauce, mozzarella fior di latte, pepperoni, oregano",14.5
Mamma Mia,PIZZA,Vegan Pizza,"Cream of marrow, aubergine, porcini, fried marrows, vegan mozzarella, cherry tomatoes, oregano",16.5
Mamma Mia,PIZZA,BBQ Chicken Pizza,"Tomatoes, mozzarella fior di latte, chicken, peppers, porcini, BBQ sauce",16.5
Mamma Mia,PIZZA,Holy Smok N' Ribs,"Tomatoes, provolone, jalapeño, boneless ribs, guanciale, caramelized onions, BBQ sauce",16.5
Mamma Mia,PIZZA,Meat Lover Pizza,"Tomato sauce, provolone, ribeye, sausages, peppers, onions, yogurt drizzle",17.5
Mamma Mia,PIZZA,Gamberetti Pizza,"Cream of marrow, fried marrows, prawns, stracciatella cheese, peperoncino, lemon zest",17.5
Mamma Mia,PIZZA,Tre Colore Focaccia,"Mozzarella di bufala, cherry tomatoes, prosciutto, rucola, grana shavings",16.5
Mamma Mia,EXTRAS,Pepper Sauce,,3.95
Mamma Mia,EXTRAS,Chef Sauce,,3.95
Mamma Mia,EXTRAS,BBQ Sauce,,3.95
Mamma Mia,EXTRAS,Tennessee Sauce,,2.5
Mamma Mia,EXTRAS,Cajun Sauce,,2.5
Mamma Mia,EXTRAS,Fries,,3.5
The Brew Bar Grill,APPETIZERS,Tres Tacos,"3 mini tortillas with chicken, beef, or fish, topped with pico de gallo, salsa hot sauce & sour cream",16
The Brew Bar Grill,APPETIZERS,Quesadilla,"Folded tortilla filled with chicken or beef, salsa, or mozzarella",15
The Brew Bar Grill,APPETIZERS,Nachos,"Crispy nachos topped with beef, pico de gallo, pickled jalapeños, melted cheese, guacamole",15
The Brew Bar Grill,APPETIZERS,Chicken Wings (400g),"Jack Daniel's BBQ, Buffalo, or Honey Mustard sauce with a dip",12
The Brew Bar Grill,APPETIZERS,Mozzarella Sticks,8 breaded mozzarella sticks with honey mustard dip,10
The Brew Bar Grill,APPETIZERS,Large Fries, ,7
The Brew Bar Grill,APPETIZERS,Crispy Fried Sardines, ,12
The Brew Bar Grill,APPETIZERS,Fried Salty Smelt Fish, ,12
The Brew Bar Grill,APPETIZERS,Cheesy Chips,Slightly spicy,8.5
The Brew Bar Grill,PLATTERS,The Brew Platter,"Half rack ribs, chicken wings, mixed sausages, beer battered onion rings, salad, fries, honey mustard",39.95
The Brew Bar Grill,PLATTERS,The Big Chicken Wing Platter,"2400g of chicken wings in 4 sauces: honey garlic, Jack Daniel's BBQ, honey mustard, buffalo sauce",39
The Brew Bar Grill,SALADS,Caesar Salad,"Lettuce, tomatoes, croutons, Grana cheese, chicken breast, crispy bacon, Caesar dressing",17.95
The Brew Bar Grill,SALADS,Green Salad,"Mixed lettuce, olives, onions, peppers, cherry tomatoes, feta cheese, basil flavored oil",11.95
The Brew Bar Grill,BURGERS,Veggie Burger,"Breaded veggie patty, red Leicester cheese, lettuce in basil oil, tomatoes, brioche bun",12.95
The Brew Bar Grill,BURGERS,Chicken Caesar Burger,"Breaded fresh chicken breast patty, lettuce, tomatoes, crushed croutons, Grana cheese, Caesar dressing",13.9
The Brew Bar Grill,BURGERS,Pork Rib Burger,"BBQ sauce, chopped onions, slow cooked pork rib (200g), tomato, homemade roast potatoes",16.95
The Brew Bar Grill,DRY AGED BEEF BURGERS,Steakhouse Burger,"200g beef patty, crispy bacon, red Leicester cheese, crispy onions, tomatoes, coleslaw, Jack Daniel's BBQ sauce, brioche bun",16.95
The Brew Bar Grill,DRY AGED BEEF BURGERS,Picke My Funny Bone Burger,"200g beef patty, cheddar cheese, fried pickles, lettuce, Jay's burger juice, brioche bun",15.95
The Brew Bar Grill,DRY AGED BEEF BURGERS,Royal with Cheese,"200g beef patty, cheddar, ketchup, mustard, pickles, chopped onion, sesame seed bun",15.95
The Brew Bar Grill,DRY AGED BEEF BURGERS,The Godfather,"200g beef patty, mozzarella di bufala, pistachios, rucola, pesto, brioche bun",16.95
The Brew Bar Grill,DRY AGED BEEF BURGERS,Django,"200g beef patty, pico de gallo, Mexican cheese, spicy chorizo, Mexicana sauce, brioche bun, house guacamole",16.95
The Brew Bar Grill,DRY AGED BEEF BURGERS,The American Classic,"200g beef patty, crispy bacon, cheddar cheese, tomatoes, pickles, Jay's burger juice, sesame seed bun",15.95
The Brew Bar Grill,DRY AGED BEEF BURGERS,The Brew Truffle Burger,"200g beef patty, fresh Italian truffle, homemade truffle mayo, cheddar cheese, tomatoes, lettuce",20.95
The Brew Bar Grill,GRILL,Juicy Ribs,Honey mustard sauce (cooked in golden ale beer) or Jack Daniel's BBQ sauce with beer battered onion rings,18
The Brew Bar Grill,GRILL,Rib Eye Steak (350g),Recommended with pepper sauce and steakhouse potatoes,33
The Brew Bar Grill,GRILL,Grilled Chicken Breast,Served with side dishes of your choice,18
The Brew Bar Grill,GRILL,Pork Schnitzel (400g), ,21
The Brew Bar Grill,GRILL,Grilled Sticky Ribs,Price per 100g,15
The Brew Bar Grill,HOUSE SPECIALS,One Meter Ribs,"One meter rack with sauce of choice, beer battered onion rings",59
The Brew Bar Grill,HOUSE SPECIALS,Sausage Mix,"400g Bavarian, Maltese, and spicy sausage",18
The Brew Bar Grill,HOUSE SPECIALS,Inferno Wings (6 pcs),Spicy chicken wings,12
The Brew Bar Grill,SEAFOOD,Grilled Salmon,Served with side dishes of your choice,22
The Brew Bar Grill,BEVERAGES,Coca Cola (250ml),,2.85
The Brew Bar Grill,BEVERAGES,Coca Cola Zero (250ml),,2.85
The Brew Bar Grill,BEVERAGES,Fanta (250ml),,2.85
The Brew Bar Grill,BEVERAGES,Sprite (250ml),,2.85
The Brew Bar Grill,BEVERAGES,Still Water,,2.85
The Brew Bar Grill,BEVERAGES,Sparkling Water,,2.1
The Brew Bar Grill,BEVERAGES,Ice Tea Lemon,,3.05
The Brew Bar Grill,BEVERAGES,Ice Tea Peach,,3.05
The Brew Bar Grill,BEVERAGES,Tonic Water,,2.85
The Brew Bar Grill,BEVERAGES,Bitter Lemon,,2.85
The Brew Bar Grill,BEVERAGES,Ginger Ale,,2.85
The Brew Bar Grill,HOMEMADE BEER,Pilsner (1L),5.2% vol,9
The Brew Bar Grill,HOMEMADE BEER,Pilsner (2L),5.2% vol,17
The Brew Bar Grill,HOMEMADE BEER,Valletta 2018 (1L),4.8% vol,9
The Brew Bar Grill,HOMEMADE BEER,Valletta 2018 (2L),4.8% vol,17
The Brew Bar Grill,HOMEMADE BEER,Golden Ale (1L),6% vol,9
The Brew Bar Grill,HOMEMADE BEER,Golden Ale (2L),6% vol,17
Okurama Asian Fusion,CHEF'S SPECIALS,Red Curry Duck, ,14.5
Okurama Asian Fusion,CHEF'S SPECIALS,Pad Kee Mao Duck, ,14
Okurama Asian Fusion,CHEF'S SPECIALS,Hong Kong Duck (Half), ,16.5
Okurama Asian Fusion,CHEF'S SPECIALS,Hong Kong Duck (Whole), ,29.5
Okurama Asian Fusion,SUSHI NIGIRI,Avocado Nigiri,,3.8
Okurama Asian Fusion,SUSHI NIGIRI,Sweet Egg Nigiri,,3.8
Okurama Asian Fusion,SUSHI NIGIRI,Tofu Pocket Nigiri,,3.8
Okurama Asian Fusion,SUSHI NIGIRI,Salmon Nigiri,,4.6
Okurama Asian Fusion,SUSHI NIGIRI,Tuna Nigiri,,4.8
Okurama Asian Fusion,SUSHI NIGIRI,Prawn Nigiri,,4.6
Okurama Asian Fusion,SUSHI NIGIRI,Flame Seared Salmon Nigiri,,4.6
Okurama Asian Fusion,SUSHI NIGIRI,Eel Nigiri,,5
Okurama Asian Fusion,SUSHI NIGIRI,Beef Ribeye Nigiri,,5.5
Okurama Asian Fusion,SUSHI GUNKAN,Seaweed Gunkan,,3.8
Okurama Asian Fusion,SUSHI GUNKAN,Spicy Salmon Gunkun,,4.6
Okurama Asian Fusion,SUSHI GUNKAN,Spicy Tuna Gunkun,,4.6
Okurama Asian Fusion,SUSHI GUNKAN,Tobiko Gunkun,,4.6
Okurama Asian Fusion,SUSHI GUNKAN,Grilled Salmon & Philadelphia Gunkun,,4.6
Okurama Asian Fusion,SUSHI GUNKAN,Crab Stick & Mayo Gunkun,,4.6
Okurama Asian Fusion,HOSOMAKI,Avocado,,4.3
Okurama Asian Fusion,HOSOMAKI,Cucumber,,4.3
Okurama Asian Fusion,HOSOMAKI,Philadelphia Cheese,,4.3
Okurama Asian Fusion,HOSOMAKI,Salmon,,5
Okurama Asian Fusion,HOSOMAKI,Tuna,,5
Okurama Asian Fusion,HOSOMAKI,Crab Stick,,5
Okurama Asian Fusion,TEMAKI,Vegetarian,"Lettuce, carrot, cucumber, avocado, garlic mayo",4.5
Okurama Asian Fusion,TEMAKI,California,"Crab stick, sweet egg, avocado, tobiko, mayo",5
Okurama Asian Fusion,TEMAKI,Salmon & Cucumber,"Salmon, cucumber, tobiko, garlic mayo",5
Okurama Asian Fusion,TEMAKI,Tuna & Cucumber,"Tuna, cucumber, green masago, garlic mayo",5
Okurama Asian Fusion,TEMAKI,Teriyaki Chicken,"Teriyaki chicken, cucumber, teriyaki sauce, sesame seeds",5
Okurama Asian Fusion,TEMAKI,Prawn Tempura,"Prawn tempura, avocado, teriyaki sauce, mayo",5
Okurama Asian Fusion,SASHIMI,Salmon Sashimi,,11.5
Okurama Asian Fusion,SASHIMI,Tuna Sashimi,,11.5
Okurama Asian Fusion,SASHIMI,Mixed Sashimi (8 Pieces),,17
Okurama Asian Fusion,SUSHI ROLLS,Chicken Katsu Roll (6 pcs),"Crispy chicken, cucumber, carrot, teriyaki sauce",9.95
Okurama Asian Fusion,SUSHI ROLLS,Salmon Avocado Roll (6 pcs),"Salmon, avocado, lettuce",9.95
Okurama Asian Fusion,SUSHI ROLLS,Vegetarian Roll (8 pcs),"Lettuce, cucumber, avocado, wakame, carrot, parsley flakes",9.5
Okurama Asian Fusion,SUSHI ROLLS,Crunch Beef Roll (8 pcs),"Marinated beef, carrot, deep fried panko, crispy onions",9.95
Okurama Asian Fusion,SUSHI ROLLS,Crispy Duck Roll (8 pcs),"Crispy duck, cucumber, carrot, peanut, spring onions, hoisin sauce",9.95
Okurama Asian Fusion,SUSHI ROLLS,Prawn Tempura Roll (8 pcs),"Prawn tempura, cucumber, seaweed, egg flakes, teriyaki sauce",10.5
Okurama Asian Fusion,SUSHI ROLLS,Grilled Salmon Roll (8 pcs),"Grilled salmon, avocado, carrot, sesame, teriyaki sauce",9.95
Okurama Asian Fusion,SUSHI ROLLS,Grilled Tuna Roll (8 pcs),"Grilled tuna, cucumber, bell pepper, green masago",9.95
Okurama Asian Fusion,SUSHI ROLLS,California Roll (8 pcs),"Crab stick, sweet egg, avocado, tobiko, mayo",9.95
Okurama Asian Fusion,SUSHI ROLLS,Spicy Salmon Roll (8 pcs) 🌶️,"Spicy salmon tartar, cucumber, avocado, chili flakes, spicy mayo",10.5
Okurama Asian Fusion,SUSHI ROLLS,Spicy Tuna Roll (8 pcs) 🌶️,"Spicy tuna tartar, cucumber, avocado, chili flakes, mayo",10.5
Okurama Asian Fusion,FANCY ROLLS,Sun Rise,"Crispy salmon skin, cucumber, avocado, crab stick, teriyaki sauce, peanut",11.5
Okurama Asian Fusion,FANCY ROLLS,Crazy Salmon,"Grilled salmon, avocado, bell pepper, fresh salmon, green masago, mayo",11.9
Okurama Asian Fusion,FANCY ROLLS,Hot Night,"Prawn tempura, cucumber, flame seared salmon, spicy salmon, spring onions, teriyaki sauce",11.9
Okurama Asian Fusion,FANCY ROLLS,Red Monster,"Crab stick, mayo, tobiko, avocado, cucumber, salmon, teriyaki sauce, spring onions",11.9
Okurama Asian Fusion,FANCY ROLLS,Alaska Roll,"Salmon, Philadelphia cheese, avocado, prawn, mayo, teriyaki sauce",11.9
Okurama Asian Fusion,FANCY ROLLS,Tokyo Dragon,"Salmon, boiled carrot, avocado, grilled eel, teriyaki sauce, spring onions",12.5
Okurama Asian Fusion,FANCY ROLLS,Rainbow Roll,"Prawn tempura, cucumber, topped with tuna, salmon, avocado",12.5
Okurama Asian Fusion,SUSHI PLATTERS,Platter 1 (16 pcs),"Avocado nigiri, tofu pocket nigiri, tuna hosomaki, salmon Philadelphia roll, California roll",18
Okurama Asian Fusion,SUSHI PLATTERS,Platter 2 (24 pcs),"Seared salmon nigiri, prawn nigiri, salmon hosomaki, spicy salmon roll, prawn tempura roll",28.5
Okurama Asian Fusion,SUSHI PLATTERS,Platter 3 (30 pcs),"Salmon nigiri, tuna nigiri, Philadelphia hosomaki, chicken katsu roll, grilled tuna roll, hot night roll",36.5
Okurama Asian Fusion,SUSHI PLATTERS,Platter 4 (34 pcs),"Seared salmon nigiri, tuna nigiri, prawn nigiri, ribeye nigiri, salmon hosomaki, grilled tuna roll, California roll, prawn tempura roll",42.5
Okurama Asian Fusion,SUSHI PLATTERS,Platter 5 (48 pcs),"Various rolls, hosomaki, and nigiri selection",56.5
Okurama Asian Fusion,SUSHI PLATTERS,Platter 6 (60 pcs),"Large variety of rolls, hosomaki, and nigiri",72
Sakura Japanese Cuisine Lounge,BREAKFAST,Waffle,"Sugar coated, topped with hazelnut chocolate and whipped cream",7
Sakura Japanese Cuisine Lounge,BREAKFAST,American Pancake,Served with forest fruit compote and maple syrup,8
Sakura Japanese Cuisine Lounge,BREAKFAST,Toasted Bagel Ham & Cheese,"Gammon, edam cheese, misticanza leaves, cherry tomato",8.5
Sakura Japanese Cuisine Lounge,BREAKFAST,Norwegian Toast Bagel,"Open toast, cream cheese, rocket leaves, smoked salmon",10
Sakura Japanese Cuisine Lounge,BREAKFAST,Open Bagel Toast,"Streaky bacon, scrambled egg, grilled tomato, rocket leaves",8.5
Sakura Japanese Cuisine Lounge,BREAKFAST,Vegetarian Breakfast,"Avocado, fried eggs, hash browns, mushrooms, grilled tomato, beans, muffins, cream cheese",14.5
Sakura Japanese Cuisine Lounge,BREAKFAST,Classic Egg Benedict,"Poached eggs, English muffin, streaky bacon, hollandaise sauce, rocket leaves",10.5
Sakura Japanese Cuisine Lounge,BREAKFAST,Royale Egg Benedict,"Poached eggs, English muffin, smoked salmon, spinach, hollandaise sauce",11
